αβιογενετικός E1
αβρός E1
αγαθοεργός E1
αγαθός E1
αγανός E1
αγαπητός E1
αγαρηνός E1
αγαστός E1
αγγειακός E1
αγγειοδιασταλτικός E1
αγγειοκινητικός E1
αγγειοπλαστικός E1
αγγειοσυσταλτικός E1
αγγειοχειρουργικός E1
αγγελικός E1
αγγλικανικός E1
αγγλικανός E1
αγγλικός E1
αγγλοσαξονικός E1
αγελαδινός E1
αγκαθερός E1
αγκαθωτός E1
αγκαλιαστός E1
αγκιστρωτός E1
αγκυλοποιητικός E1
αγκυλωτός E1
αγνός E1
αγνωστικιστικός E1
αγορανομικός E1
αγοραστικός E1
αγοραστός E1
αγοραφοβικός E1
αγουρωπός E1
αγριωπός E1
αγροτικός E1
αγχωτικός E1
αγωνιστικός E1
αδειανός E1
αδελφικός E1
αδελφός E1
αδενικός E1
αδιαβατικός E1
αεραθλητικός E1
αερικός E1
αεροβικός E1
αεροδιαστημικός E1
αεροδυναμικός E1
αεροναυτικός E1
αεροπορικός E1
αζιμουθιακός E1
αζωικός E1
αηδιαστικός E1
αθεϊστικός E1
αθέματος E1
αθηναϊκός E1
αθηρωματικός E1
αθλητικός E1
αθροιστικός E1
αθωνικός E1
αθωωτικός E1
αιγαιακός E1
αιγυπτιακός E1
αιδοιικός E1
αιθιοπικός E1
αιθυλικός E1
αιματηρός E1
αιματολογικός E1
αιμοδοτικός E1
αιμοδυναμικός E1
αιμολυτικός E1
αιμομικτικός E1
αιμορραγικός E1
αιμορροϊδικός E1
αιμοστατικός E1
αιμοφιλικός E1
αιμοχρωστικός E1
αινιγματικός E1
αιολικός E1
αιρετικός E1
αιρετός E1
αισθαντικός E1
αισθηματικός E1
αισθησιακός E1
αισθησιαρχικός E1
αισθησιοκρατικός E1
αισθητηριακός E1
αισθητικός E1
αισθητός E1
αισχρός E1
αισχυλικός E1
αιτιακός E1
αιτιοκρατικός E1
αιτιολογικός E1
αιτωλικός E1
αιφνιδιαστικός E1
αιχμηρός E1
ακαδημαϊκός E1
ακιδωτός E1
ακονιστικός E1
ακουμπιστός E1
ακουστικός E1
ακουστός E1
ακριανός E1
ακριβός E1
ακρινός E1
ακριτικός E1
ακροαματικός E1
ακροαστικός E1
ακροβατικός E1
ακροβολιστικός E1
ακρυλικός E1
ακτιβιστικός E1
ακτινενεργός E1
ακτινικός E1
ακτινογραφικός E1
ακτινοδιαγνωστικός E1
ακτινολογικός E1
ακτινοσκοπικός E1
ακτινοφυσικός E1
ακτινωτός E1
ακτοπλοϊκός E1
ακυρωτικός E1
ακυτταρικός E1
αλαζονικός E1
αλαργινός E1
αλατερός E1
αλατιστός E1
αλβανικός E1
αλγεβρικός E1
αλγεινός E1
αλγερινός E1
αλγοριθμικός E1
αλεξανδρινός E1
αλεξικός E1
αλεστικός E1
αληθινός E1
αλιευτικός E1
αλκαϊκός E1
αλκαλικός E1
αλκοολικός E1
αλλεργικός E1
αλληγορικός E1
αλληλασφαλιστικός E1
αλληλοδιδακτικός E1
αλλοδαπός E1
αλλοτριωτικός E1
αλλοτροπικός E1
αλμυρός E1
αλογικός E1
αλογινός E1
αλπικός E1
αλταϊκός E1
αλτρουιστικός E1
αλυσιδωτός E1
αλυσωτός E1
αλυτρωτικός E1
αλφαβητικός E1
αλχημιστικός E1
αλωνιστικός E1
